GENEID	SYMBOL	type
ENSG00000000003	TSPAN6	ensg
ENSG00000000005	TNMD	ensg
ENSG00000000419	DPM1	ensg
ENSG00000000457	SCYL3	ensg
ENSG00000000460	C1orf112	ensg
ENSG00000000938	FGR	ensg
ENSG00000000971	CFH	ensg
ENSG00000001036	FUCA2	ensg
ENSG00000001084	GCLC	ensg
ENSG00000001167	NFYA	ensg
ENSG00000001460	STPG1	ensg
ENSG00000001461	NIPAL3	ensg
ENSG00000001497	LAS1L	ensg
ENSG00000001561	ENPP4	ensg
ENSG00000001617	SEMA3F	ensg
ENSG00000001626	CFTR	ensg
ENSG00000001629	ANKIB1	ensg
ENSG00000001630	CYP51A1	ensg
ENSG00000001631	KRIT1	ensg
ENSG00000002016	RAD52	ensg
ENSG00000002330	BAD	ensg
ENSG00000002549	LAP3	ensg
ENSG00000002586	CD99	ensg
ENSG00000002587	HS3ST1	ensg
ENSG00000002726	AOC1	ensg
ENSG00000002745	WNT16	ensg
ENSG00000002746	HECW1	ensg
ENSG00000002822	MAD1L1	ensg
ENSG00000002834	LASP1	ensg
ENSG00000002919	SNX11	ensg
ENSG00000002933	TMEM176A	ensg
ENSG00000003056	M6PR	ensg
ENSG00000003096	KLHL13	ensg
ENSG00000003137	CYP26B1	ensg
ENSG00000003147	ICA1	ensg
ENSG00000003249	DBNDD1	ensg
ENSG00000003393	ALS2	ensg
ENSG00000003400	CASP10	ensg
ENSG00000003402	CFLAR	ensg
ENSG00000003436	TFPI	ensg
ENSG00000003509	NDUFAF7	ensg
ENSG00000003756	RBM5	ensg
ENSG00000003987	MTMR7	ensg
ENSG00000003989	SLC7A2	ensg
ENSG00000004059	ARF5	ensg
ENSG00000004139	SARM1	ensg
ENSG00000004142	POLDIP2	ensg
ENSG00000004399	PLXND1	ensg
ENSG00000004455	AK2	ensg
ENSG00000004468	CD38	ensg
ENSG00000004478	FKBP4	ensg
ENSG00000004487	KDM1A	ensg
ENSG00000004534	RBM6	ensg
ENSG00000004660	CAMKK1	ensg
ENSG00000004700	RECQL	ensg
ENSG00000004766	CCDC132	ensg
ENSG00000004776	HSPB6	ensg
ENSG00000004777	ARHGAP33	ensg
ENSG00000004779	NDUFAB1	ensg
ENSG00000004799	PDK4	ensg
ENSG00000004809	SLC22A16	ensg
ENSG00000004838	ZMYND10	ensg
ENSG00000004846	ABCB5	ensg
ENSG00000004848	ARX	ensg
ENSG00000004864	SLC25A13	ensg
ENSG00000004866	ST7	ensg
ENSG00000004897	CDC27	ensg
ENSG00000004939	SLC4A1	ensg
ENSG00000004948	CALCR	ensg
ENSG00000004961	HCCS	ensg
ENSG00000004975	DVL2	ensg
ENSG00000005001	PRSS22	ensg
ENSG00000005007	UPF1	ensg
ENSG00000005020	SKAP2	ensg
ENSG00000005022	SLC25A5	ensg
ENSG00000005059	CCDC109B	ensg
ENSG00000005073	HOXA11	ensg
ENSG00000005075	POLR2J	ensg
ENSG00000005100	DHX33	ensg
ENSG00000005102	MEOX1	ensg
ENSG00000005108	THSD7A	ensg
ENSG00000005156	LIG3	ensg
ENSG00000005175	RPAP3	ensg
ENSG00000005187	ACSM3	ensg
ENSG00000005189	AC004381.6	ensg
ENSG00000005194	CIAPIN1	ensg
ENSG00000005206	SPPL2B	ensg
ENSG00000005238	FAM214B	ensg
ENSG00000005243	COPZ2	ensg
ENSG00000005249	PRKAR2B	ensg
ENSG00000005302	MSL3	ensg
ENSG00000005339	CREBBP	ensg
ENSG00000005379	BZRAP1	ensg
ENSG00000005381	MPO	ensg
ENSG00000005421	PON1	ensg
ENSG00000005436	GCFC2	ensg
ENSG00000005448	WDR54	ensg
ENSG00000005469	CROT	ensg
ENSG00000005471	ABCB4	ensg
ENSG00000005483	KMT2E	ensg
ENSG00000005486	RHBDD2	ensg
ENSG00000005513	SOX8	ensg
ENSG00000005700	IBTK	ensg
ENSG00000005801	ZNF195	ensg
ENSG00000005810	MYCBP2	ensg
ENSG00000005812	FBXL3	ensg
ENSG00000005844	ITGAL	ensg
ENSG00000005882	PDK2	ensg
ENSG00000005884	ITGA3	ensg
ENSG00000005889	ZFX	ensg
ENSG00000005893	LAMP2	ensg
ENSG00000005961	ITGA2B	ensg
ENSG00000005981	ASB4	ensg
ENSG00000006007	GDE1	ensg
ENSG00000006015	C19orf60	ensg
ENSG00000006016	CRLF1	ensg
ENSG00000006025	OSBPL7	ensg
ENSG00000006042	TMEM98	ensg
ENSG00000006047	YBX2	ensg
ENSG00000006059	KRT33A	ensg
ENSG00000006062	MAP3K14	ensg
ENSG00000006071	ABCC8	ensg
ENSG00000006116	CACNG3	ensg
ENSG00000006118	TMEM132A	ensg
ENSG00000006125	AP2B1	ensg
ENSG00000006128	TAC1	ensg
ENSG00000006194	ZNF263	ensg
ENSG00000006210	CX3CL1	ensg
ENSG00000006282	SPATA20	ensg
ENSG00000006283	CACNA1G	ensg
ENSG00000006327	TNFRSF12A	ensg
ENSG00000006377	DLX6	ensg
ENSG00000006432	MAP3K9	ensg
ENSG00000006451	RALA	ensg
ENSG00000006453	BAIAP2L1	ensg
ENSG00000006459	KDM7A	ensg
ENSG00000006468	ETV1	ensg
ENSG00000006530	AGK	ensg
ENSG00000006534	ALDH3B1	ensg
ENSG00000006555	TTC22	ensg
ENSG00000006576	PHTF2	ensg
ENSG00000006606	CCL26	ensg
ENSG00000006607	FARP2	ensg
ENSG00000006611	USH1C	ensg
ENSG00000006625	GGCT	ensg
ENSG00000006634	DBF4	ensg
ENSG00000006638	TBXA2R	ensg
ENSG00000006652	IFRD1	ensg
ENSG00000006659	LGALS14	ensg
ENSG00000006695	COX10	ensg
ENSG00000006704	GTF2IRD1	ensg
ENSG00000006712	PAF1	ensg
ENSG00000006715	VPS41	ensg
ENSG00000006740	ARHGAP44	ensg
ENSG00000006744	ELAC2	ensg
ENSG00000006747	SCIN	ensg
ENSG00000006756	ARSD	ensg
ENSG00000006757	PNPLA4	ensg
ENSG00000006788	MYH13	ensg
ENSG00000006831	ADIPOR2	ensg
ENSG00000006837	CDKL3	ensg
ENSG00000007001	UPP2	ensg
ENSG00000007038	PRSS21	ensg
ENSG00000007047	MARK4	ensg
ENSG00000007062	PROM1	ensg
ENSG00000007080	CCDC124	ensg
ENSG00000007129	CEACAM21	ensg
ENSG00000007168	PAFAH1B1	ensg
ENSG00000007171	NOS2	ensg
ENSG00000007174	DNAH9	ensg
ENSG00000007202	KIAA0100	ensg
ENSG00000007216	SLC13A2	ensg
ENSG00000007237	GAS7	ensg
ENSG00000007255	TRAPPC6A	ensg
ENSG00000007264	MATK	ensg
ENSG00000007306	CEACAM7	ensg
ENSG00000007312	CD79B	ensg
ENSG00000007314	SCN4A	ensg
ENSG00000007341	ST7L	ensg
ENSG00000007350	TKTL1	ensg
ENSG00000007372	PAX6	ensg
ENSG00000007376	RPUSD1	ensg
ENSG00000007384	RHBDF1	ensg
ENSG00000007392	LUC7L	ensg
ENSG00000007402	CACNA2D2	ensg
ENSG00000007516	BAIAP3	ensg
ENSG00000007520	TSR3	ensg
ENSG00000007541	PIGQ	ensg
ENSG00000007545	CRAMP1L	ensg
ENSG00000007866	TEAD3	ensg
ENSG00000007908	SELE	ensg
ENSG00000007923	DNAJC11	ensg
ENSG00000007933	FMO3	ensg
ENSG00000007944	MYLIP	ensg
ENSG00000007952	NOX1	ensg
ENSG00000007968	E2F2	ensg
ENSG00000008018	PSMB1	ensg
ENSG00000008056	SYN1	ensg
ENSG00000008083	JARID2	ensg
ENSG00000008086	CDKL5	ensg
ENSG00000008118	CAMK1G	ensg
ENSG00000008128	CDK11A	ensg
ENSG00000008130	NADK	ensg
ENSG00000008196	TFAP2B	ensg
ENSG00000008197	TFAP2D	ensg
ENSG00000008226	DLEC1	ensg
ENSG00000008256	CYTH3	ensg
ENSG00000008277	ADAM22	ensg
ENSG00000008282	SYPL1	ensg
ENSG00000008283	CYB561	ensg
ENSG00000008294	SPAG9	ensg
ENSG00000008300	CELSR3	ensg
ENSG00000008311	AASS	ensg
ENSG00000008323	PLEKHG6	ensg
ENSG00000008324	SS18L2	ensg
ENSG00000008382	MPND	ensg
ENSG00000008394	MGST1	ensg
ENSG00000008405	CRY1	ensg
ENSG00000008438	PGLYRP1	ensg
ENSG00000008441	NFIX	ensg
ENSG00000008513	ST3GAL1	ensg
ENSG00000008516	MMP25	ensg
ENSG00000008517	IL32	ensg
ENSG00000008710	PKD1	ensg
ENSG00000008735	MAPK8IP2	ensg
ENSG00000008838	MED24	ensg
ENSG00000008853	RHOBTB2	ensg
ENSG00000008869	HEATR5B	ensg
ENSG00000008952	SEC62	ensg
ENSG00000008988	RPS20	ensg
ENSG00000009307	CSDE1	ensg
ENSG00000009335	UBE3C	ensg
ENSG00000009413	REV3L	ensg
ENSG00000009694	TENM1	ensg
ENSG00000009709	PAX7	ensg
ENSG00000009724	MASP2	ensg
ENSG00000009765	IYD	ensg
ENSG00000009780	FAM76A	ensg
ENSG00000009790	TRAF3IP3	ensg
ENSG00000009830	POMT2	ensg
ENSG00000009844	VTA1	ensg
ENSG00000009950	MLXIPL	ensg
ENSG00000009954	BAZ1B	ensg
ENSG00000010017	RANBP9	ensg
ENSG00000010030	ETV7	ensg
ENSG00000010072	SPRTN	ensg
ENSG00000010165	METTL13	ensg
ENSG00000010219	DYRK4	ensg
ENSG00000010244	ZNF207	ensg
ENSG00000010256	UQCRC1	ensg
ENSG00000010270	STARD3NL	ensg
ENSG00000010278	CD9	ensg
ENSG00000010282	HHATL	ensg
ENSG00000010292	NCAPD2	ensg
ENSG00000010295	IFFO1	ensg
ENSG00000010310	GIPR	ensg
ENSG00000010318	PHF7	ensg
ENSG00000010319	SEMA3G	ensg
ENSG00000010322	NISCH	ensg
ENSG00000010327	STAB1	ensg
ENSG00000010361	FUZ	ensg
ENSG00000010379	SLC6A13	ensg
ENSG00000010404	IDS	ensg
ENSG00000010438	PRSS3	ensg
ENSG00000010539	ZNF200	ensg
ENSG00000010610	CD4	ensg
ENSG00000010626	LRRC23	ensg
ENSG00000010671	BTK	ensg
ENSG00000010704	HFE	ensg
ENSG00000010803	SCMH1	ensg
ENSG00000010810	FYN	ensg
ENSG00000010818	HIVEP2	ensg
ENSG00000010932	FMO1	ensg
ENSG00000011007	TCEB3	ensg
ENSG00000011009	LYPLA2	ensg
ENSG00000011021	CLCN6	ensg
ENSG00000011028	MRC2	ensg
ENSG00000011052	NME2	ensg
ENSG00000011083	SLC6A7	ensg
ENSG00000011105	TSPAN9	ensg
ENSG00000011114	BTBD7	ensg
ENSG00000011132	APBA3	ensg
ENSG00000011143	MKS1	ensg
ENSG00000011198	ABHD5	ensg
ENSG00000011201	KAL1	ensg
ENSG00000011243	AKAP8L	ensg
ENSG00000011258	MBTD1	ensg
ENSG00000011260	UTP18	ensg
ENSG00000011275	RNF216	ensg
ENSG00000011295	TTC19	ensg
ENSG00000011304	PTBP1	ensg
ENSG00000011332	DPF1	ensg
ENSG00000011347	SYT7	ensg
ENSG00000011376	LARS2	ensg
ENSG00000011405	PIK3C2A	ensg
ENSG00000011422	PLAUR	ensg
ENSG00000011426	ANLN	ensg
ENSG00000011451	WIZ	ensg
ENSG00000011454	RABGAP1	ensg
ENSG00000011465	DCN	ensg
ENSG00000011478	QPCTL	ensg
ENSG00000011485	PPP5C	ensg
ENSG00000011523	CEP68	ensg
ENSG00000011566	MAP4K3	ensg
ENSG00000011590	ZBTB32	ensg
ENSG00000011600	TYROBP	ensg
ENSG00000011638	TMEM159	ensg
ENSG00000011677	GABRA3	ensg
ENSG00000012048	BRCA1	ensg
ENSG00000012061	ERCC1	ensg
ENSG00000012124	CD22	ensg
ENSG00000012171	SEMA3B	ensg
ENSG00000012174	MBTPS2	ensg
ENSG00000012211	PRICKLE3	ensg
ENSG00000012223	LTF	ensg
ENSG00000012232	EXTL3	ensg
ENSG00000012504	NR1H4	ensg
ENSG00000012660	ELOVL5	ensg
ENSG00000012779	ALOX5	ensg
ENSG00000012817	KDM5D	ensg
ENSG00000012822	CALCOCO1	ensg
ENSG00000012963	UBR7	ensg
ENSG00000012983	MAP4K5	ensg
ENSG00000013016	EHD3	ensg
ENSG00000013275	PSMC4	ensg
ENSG00000013288	MAN2B2	ensg
ENSG00000013293	SLC7A14	ensg
ENSG00000013297	CLDN11	ensg
ENSG00000013306	SLC25A39	ensg
ENSG00000013364	MVP	ensg
ENSG00000013374	NUB1	ensg
ENSG00000013375	PGM3	ensg
ENSG00000013392	RWDD2A	ensg
ENSG00000013441	CLK1	ensg
ENSG00000013503	POLR3B	ensg
ENSG00000013523	ANGEL1	ensg
ENSG00000013561	RNF14	ensg
ENSG00000013563	DNASE1L1	ensg
ENSG00000013573	DDX11	ensg
ENSG00000013583	HEBP1	ensg
ENSG00000013588	GPRC5A	ensg
ENSG00000013619	MAMLD1	ensg
ENSG00000013725	CD6	ensg
ENSG00000013810	TACC3	ensg
ENSG00000014123	UFL1	ensg
ENSG00000014138	POLA2	ensg
ENSG00000014164	ZC3H3	ensg
ENSG00000014216	CAPN1	ensg
ENSG00000014257	ACPP	ensg
ENSG00000014641	MDH1	ensg
ENSG00000014824	SLC30A9	ensg
ENSG00000014914	MTMR11	ensg
ENSG00000014919	COX15	ensg
ENSG00000015133	CCDC88C	ensg
ENSG00000015153	YAF2	ensg
ENSG00000015171	ZMYND11	ensg
ENSG00000015285	WAS	ensg
ENSG00000015413	DPEP1	ensg
ENSG00000015475	BID	ensg
ENSG00000015479	MATR3	ensg
ENSG00000015520	NPC1L1	ensg
ENSG00000015532	XYLT2	ensg
ENSG00000015568	RGPD5	ensg
ENSG00000015592	STMN4	ensg
ENSG00000015676	NUDCD3	ensg
ENSG00000016082	ISL1	ensg
ENSG00000016391	CHDH	ensg
ENSG00000016402	IL20RA	ensg
ENSG00000016490	CLCA1	ensg
ENSG00000016602	CLCA4	ensg
ENSG00000016864	GLT8D1	ensg
ENSG00000017260	ATP2C1	ensg
ENSG00000017427	IGF1	ensg
ENSG00000017483	SLC38A5	ensg
ENSG00000017797	RALBP1	ensg
ENSG00000018189	RUFY3	ensg
ENSG00000018236	CNTN1	ensg
ENSG00000018280	SLC11A1	ensg
ENSG00000018408	WWTR1	ensg
ENSG00000018510	AGPS	ensg
ENSG00000018610	CXorf56	ensg
ENSG00000018625	ATP1A2	ensg
ENSG00000018699	TTC27	ensg
ENSG00000018869	ZNF582	ensg
ENSG00000019102	VSIG2	ensg
ENSG00000019144	PHLDB1	ensg
ENSG00000019169	MARCO	ensg
ENSG00000019186	CYP24A1	ensg
ENSG00000019485	PRDM11	ensg
ENSG00000019505	SYT13	ensg
ENSG00000019549	SNAI2	ensg
ENSG00000019582	CD74	ensg
ENSG00000019991	HGF	ensg
ENSG00000019995	ZRANB1	ensg
ENSG00000020129	NCDN	ensg
ENSG00000020181	GPR124	ensg
ENSG00000020256	ZFP64	ensg
ENSG00000020426	MNAT1	ensg
ENSG00000020577	SAMD4A	ensg
ENSG00000020633	RUNX3	ensg
ENSG00000020922	MRE11A	ensg
ENSG00000021300	PLEKHB1	ensg
ENSG00000021355	SERPINB1	ensg
ENSG00000021461	CYP3A43	ensg
ENSG00000021488	SLC7A9	ensg
ENSG00000021574	SPAST	ensg
ENSG00000021645	NRXN3	ensg
ENSG00000021762	OSBPL5	ensg
ENSG00000021776	AQR	ensg
ENSG00000021826	CPS1	ensg
ENSG00000021852	C8B	ensg
ENSG00000022267	FHL1	ensg
ENSG00000022277	RTFDC1	ensg
ENSG00000022355	GABRA1	ensg
ENSG00000022556	NLRP2	ensg
ENSG00000022567	SLC45A4	ensg
ENSG00000022840	RNF10	ensg
ENSG00000022976	ZNF839	ensg
ENSG00000023041	ZDHHC6	ensg
ENSG00000023171	GRAMD1B	ensg
ENSG00000023191	RNH1	ensg
ENSG00000023228	NDUFS1	ensg
ENSG00000023287	RB1CC1	ensg
ENSG00000023318	ERP44	ensg
ENSG00000023330	ALAS1	ensg
ENSG00000023445	BIRC3	ensg
ENSG00000023516	AKAP11	ensg
ENSG00000023572	GLRX2	ensg
ENSG00000023608	SNAPC1	ensg
ENSG00000023697	DERA	ensg
ENSG00000023734	STRAP	ensg
ENSG00000023839	ABCC2	ensg
ENSG00000023892	DEF6	ensg
ENSG00000023902	PLEKHO1	ensg
ENSG00000023909	GCLM	ensg
ENSG00000024048	UBR2	ensg
ENSG00000024422	EHD2	ensg
ENSG00000024526	DEPDC1	ensg
ENSG00000024862	CCDC28A	ensg
ENSG00000025039	RRAGD	ensg
ENSG00000025156	HSF2	ensg
ENSG00000025293	PHF20	ensg
ENSG00000025423	HSD17B6	ensg
ENSG00000025434	NR1H3	ensg
ENSG00000025708	TYMP	ensg
ENSG00000025770	NCAPH2	ensg
ENSG00000025772	TOMM34	ensg
ENSG00000025796	SEC63	ensg
ENSG00000025800	KPNA6	ensg
ENSG00000026025	VIM	ensg
ENSG00000026036	RTEL1-TNFRSF6B	ensg
ENSG00000026103	FAS	ensg
ENSG00000026297	RNASET2	ensg
ENSG00000026508	CD44	ensg
ENSG00000026559	KCNG1	ensg
ENSG00000026652	AGPAT4	ensg
ENSG00000026751	SLAMF7	ensg
ENSG00000026950	BTN3A1	ensg
ENSG00000027001	MIPEP	ensg
ENSG00000027075	PRKCH	ensg
ENSG00000027644	INSRR	ensg
ENSG00000027697	IFNGR1	ensg
ENSG00000027847	B4GALT7	ensg
ENSG00000027869	SH2D2A	ensg
ENSG00000028116	VRK2	ensg
ENSG00000028137	TNFRSF1B	ensg
ENSG00000028203	VEZT	ensg
ENSG00000028277	POU2F2	ensg
ENSG00000028310	BRD9	ensg
ENSG00000028528	SNX1	ensg
ENSG00000028839	TBPL1	ensg
ENSG00000029153	ARNTL2	ensg
ENSG00000029363	BCLAF1	ensg
ENSG00000029364	SLC39A9	ensg
ENSG00000029534	ANK1	ensg
ENSG00000029559	IBSP	ensg
ENSG00000029639	TFB1M	ensg
ENSG00000029725	RABEP1	ensg
ENSG00000029993	HMGB3	ensg
ENSG00000030066	NUP160	ensg
ENSG00000030110	BAK1	ensg
ENSG00000030304	MUSK	ensg
ENSG00000030419	IKZF2	ensg
ENSG00000030582	GRN	ensg
ENSG00000031003	FAM13B	ensg
ENSG00000031081	ARHGAP31	ensg
ENSG00000031691	CENPQ	ensg
ENSG00000031698	SARS	ensg
ENSG00000031823	RANBP3	ensg
ENSG00000032219	ARID4A	ensg
ENSG00000032389	TSSC1	ensg
ENSG00000032444	PNPLA6	ensg
ENSG00000032742	IFT88	ensg
ENSG00000033011	ALG1	ensg
ENSG00000033030	ZCCHC8	ensg
ENSG00000033050	ABCF2	ensg
ENSG00000033100	CHPF2	ensg
ENSG00000033122	LRRC7	ensg
ENSG00000033170	FUT8	ensg
ENSG00000033178	UBA6	ensg
ENSG00000033327	GAB2	ensg
ENSG00000033627	ATP6V0A1	ensg
ENSG00000033800	PIAS1	ensg
ENSG00000033867	SLC4A7	ensg
ENSG00000034053	APBA2	ensg
ENSG00000034152	MAP2K3	ensg
ENSG00000034239	EFCAB1	ensg
ENSG00000034510	TMSB10	ensg
ENSG00000034533	ASTE1	ensg
ENSG00000034677	RNF19A	ensg
ENSG00000034693	PEX3	ensg
ENSG00000034713	GABARAPL2	ensg
ENSG00000034971	MYOC	ensg
ENSG00000035115	SH3YL1	ensg
ENSG00000035141	FAM136A	ensg
ENSG00000035403	VCL	ensg
ENSG00000035499	DEPDC1B	ensg
ENSG00000035664	DAPK2	ensg
ENSG00000035681	NSMAF	ensg
ENSG00000035687	ADSS	ensg
ENSG00000035720	STAP1	ensg
ENSG00000035862	TIMP2	ensg
ENSG00000035928	RFC1	ensg
ENSG00000036054	TBC1D23	ensg
ENSG00000036257	CUL3	ensg
ENSG00000036448	MYOM2	ensg
ENSG00000036473	OTC	ensg
ENSG00000036530	CYP46A1	ensg
ENSG00000036549	ZZZ3	ensg
ENSG00000036565	SLC18A1	ensg
ENSG00000036672	USP2	ensg
ENSG00000036828	CASR	ensg
ENSG00000037042	TUBG2	ensg
ENSG00000037241	RPL26L1	ensg
ENSG00000037280	FLT4	ensg
ENSG00000037474	NSUN2	ensg
ENSG00000037637	FBXO42	ensg
ENSG00000037749	MFAP3	ensg
ENSG00000037757	MRI1	ensg
ENSG00000037897	METTL1	ensg
ENSG00000037965	HOXC8	ensg
ENSG00000038002	AGA	ensg
ENSG00000038210	PI4K2B	ensg
ENSG00000038219	BOD1L1	ensg
ENSG00000038274	MAT2B	ensg
ENSG00000038295	TLL1	ensg
ENSG00000038358	EDC4	ensg
ENSG00000038382	TRIO	ensg
ENSG00000038427	VCAN	ensg
ENSG00000038532	CLEC16A	ensg
ENSG00000038945	MSR1	ensg
ENSG00000039068	CDH1	ensg
ENSG00000039123	SKIV2L2	ensg
ENSG00000039139	DNAH5	ensg
ENSG00000039319	ZFYVE16	ensg
ENSG00000039523	FAM65A	ensg
ENSG00000039537	C6	ensg
ENSG00000039560	RAI14	ensg
ENSG00000039600	SOX30	ensg
ENSG00000039650	PNKP	ensg
ENSG00000039987	BEST2	ensg
ENSG00000040199	PHLPP2	ensg
ENSG00000040275	SPDL1	ensg
ENSG00000040341	STAU2	ensg
ENSG00000040487	PQLC2	ensg
ENSG00000040531	CTNS	ensg
ENSG00000040608	RTN4R	ensg
ENSG00000040633	PHF23	ensg
ENSG00000040731	CDH10	ensg
ENSG00000040933	INPP4A	ensg
ENSG00000041353	RAB27B	ensg
